date,最高温度,最低温度,空气质量
2019/1/1,1,-10,56
2019/1/2,1,-9,60
2019/1/3,2,-7,165
2019/1/4,2,-7,50
2019/1/5,0,-8,29
2019/1/6,3,-7,84
2019/1/7,2,-7,61
2019/1/8,1,-10,28
2019/1/9,3,-9,60
2019/1/10,4,-7,105
2019/1/11,5,-7,133
2019/1/12,6,-5,229
2019/1/13,6,-7,165
2019/1/14,6,-8,157
2019/1/15,-2,-10,53
2019/1/16,2,-8,60
2019/1/17,5,-9,66
2019/1/18,6,-6,92
2019/1/19,3,-6,35
2019/1/20,5,-7,30
2019/1/21,8,-4,52
2019/1/22,10,-3,60
2019/1/23,8,-6,48
2019/1/24,5,-5,78
2019/1/25,5,-6,35
2019/1/26,5,-5,35
2019/1/27,7,-4,95
2019/1/28,6,-4,48
2019/1/29,7,-4,138
2019/1/30,5,-7,76
2019/1/31,2,-8,25
2019/2/1,6,-5,69
2019/2/2,3,-4,137
2019/2/3,8,-7,118
2019/2/4,4,-6,76
2019/2/5,5,-5,155
2019/2/6,2,-7,88
2019/2/7,-2,-7,31
2019/2/8,-1,-7,42
2019/2/9,0,-8,24
2019/2/10,0,-8,38
2019/2/11,3,-6,56
2019/2/12,-3,-8,47
2019/2/13,1,-6,38
2019/2/14,-3,-6,71
2019/2/15,2,-7,30
2019/2/16,3,-6,23
2019/2/17,6,-5,25
2019/2/18,4,-3,42
2019/2/19,7,-4,117
2019/2/20,9,-4,50
2019/2/21,11,-2,119
2019/2/22,11,-2,131
2019/2/23,12,-2,163
2019/2/24,13,-1,112
2019/2/25,10,-2,73
2019/2/26,10,-2,71
2019/2/27,12,-2,117
2019/2/28,14,-1,101
2019/3/1,15,1,152
2019/3/2,15,3,232
2019/3/3,15,2,207
2019/3/4,16,2,138
2019/3/5,17,4,129
2019/3/6,11,-2,27
2019/3/7,13,-1,36
2019/3/8,13,3,82
2019/3/9,12,2,109
2019/3/10,13,2,141
2019/3/11,16,1,54
2019/3/12,12,1,29
2019/3/13,16,2,31
2019/3/14,15,4,34
2019/3/15,13,0,45
2019/3/16,19,2,55
2019/3/17,20,4,74
2019/3/18,21,6,126
2019/3/19,25,11,172
2019/3/20,17,6,96
2019/3/21,13,0,31
2019/3/22,15,3,32
2019/3/23,12,2,34
2019/3/24,19,4,69
2019/3/25,22,5,55
2019/3/26,19,4,81
2019/3/27,21,4,104
2019/3/28,11,2,61
2019/3/29,13,4,76
2019/3/30,13,1,27
2019/3/31,16,2,32
2019/4/1,16,4,37
2019/4/2,19,3,56
2019/4/3,21,6,78
2019/4/4,28,9,105
2019/4/5,21,8,203
2019/4/6,20,6,135
2019/4/7,19,7,78
2019/4/8,17,4,64
2019/4/9,9,2,39
2019/4/10,18,9,41
2019/4/11,19,6,66
2019/4/12,22,9,82
2019/4/13,23,7,120
2019/4/14,23,8,54
2019/4/15,26,11,76
2019/4/16,26,12,98
2019/4/17,28,16,138
2019/4/18,24,10,121
2019/4/19,17,10,62
2019/4/20,15,8,55
2019/4/21,22,8,112
2019/4/22,26,15,129
2019/4/23,28,15,128
2019/4/24,19,9,63
2019/4/25,18,8,29
2019/4/26,21,10,35
2019/4/27,16,6,57
2019/4/28,19,9,58
2019/4/29,23,13,113
2019/4/30,24,13,94
2019/5/1,27,10,39
2019/5/2,29,14,54
2019/5/3,28,16,79
2019/5/4,26,15,80
2019/5/5,23,10,50
2019/5/6,25,10,39
2019/5/7,28,14,50
2019/5/8,25,13,70
2019/5/9,30,14,64
2019/5/10,30,14,87
2019/5/11,29,14,104
2019/5/12,26,12,161
2019/5/13,26,12,58
2019/5/14,30,16,85
2019/5/15,28,16,133
2019/5/16,32,17,105
2019/5/17,33,20,118
2019/5/18,29,18,56
2019/5/19,28,13,62
2019/5/20,26,13,45
2019/5/21,31,14,40
2019/5/22,35,18,54
2019/5/23,37,21,85
2019/5/24,35,21,88
2019/5/25,35,20,99
2019/5/26,24,17,59
2019/5/27,29,15,30
2019/5/28,32,17,39
2019/5/29,33,22,63
2019/5/30,30,15,52
2019/5/31,30,19,34
2019/6/1,30,18,66
2019/6/2,32,19,75
2019/6/3,34,20,62
2019/6/4,28,19,82
2019/6/5,31,19,69
2019/6/6,26,18,70
2019/6/7,31,21,82
2019/6/8,34,20,65
2019/6/9,31,18,28
2019/6/10,33,18,61
2019/6/11,32,20,75
2019/6/12,33,22,69
2019/6/13,29,20,58
2019/6/14,35,20,59
2019/6/15,32,19,56
2019/6/16,25,18,38
2019/6/17,29,20,72
2019/6/18,33,22,104
2019/6/19,33,22,105
2019/6/20,36,23,103
2019/6/21,32,21,85
2019/6/22,34,22,59
2019/6/23,35,23,93
2019/6/24,36,24,86
2019/6/25,36,24,98
2019/6/26,35,22,90
2019/6/27,33,23,87
2019/6/28,32,22,56
2019/6/29,35,23,40
2019/6/30,32,21,27
2019/7/1,35,23,36
2019/7/2,35,23,64
2019/7/3,36,24,56
2019/7/4,38,25,89
2019/7/5,33,22,53
2019/7/6,26,21,23
2019/7/7,28,20,28
2019/7/8,30,22,33
2019/7/9,29,21,47
2019/7/10,28,19,66
2019/7/11,29,21,51
2019/7/12,33,22,62
2019/7/13,33,23,86
2019/7/14,33,23,49
2019/7/15,35,24,94
2019/7/16,33,24,64
2019/7/17,30,23,67
2019/7/18,32,24,89
2019/7/19,33,25,81
2019/7/20,30,24,80
2019/7/21,36,27,102
2019/7/22,35,25,106
2019/7/23,34,25,58
2019/7/24,36,27,64
2019/7/25,35,26,66
2019/7/26,37,27,73
2019/7/27,36,27,133
2019/7/28,35,26,77
2019/7/29,29,23,30
2019/7/30,34,24,54
2019/7/31,35,24,62
2019/8/1,32,24,74
2019/8/2,30,24,53
2019/8/3,31,24,62
2019/8/4,29,23,54
2019/8/5,28,24,48
2019/8/6,30,24,61
2019/8/7,29,23,39
2019/8/8,32,25,53
2019/8/9,30,23,65
2019/8/10,29,23,32
2019/8/11,28,24,30
2019/8/12,30,23,22
2019/8/13,31,22,20
2019/8/14,32,21,32
2019/8/15,32,22,49
2019/8/16,31,22,27
2019/8/17,31,19,26
2019/8/18,31,21,42
2019/8/19,31,22,75
2019/8/20,27,19,71
2019/8/21,31,21,46
2019/8/22,32,20,34
2019/8/23,30,19,33
2019/8/24,30,18,50
2019/8/25,30,20,53
2019/8/26,29,19,94
2019/8/27,33,20,58
2019/8/28,31,20,26
2019/8/29,30,20,21
2019/8/30,30,18,25
2019/8/31,32,18,42
2019/9/1,33,19,56
2019/9/2,34,20,67
2019/9/3,33,20,88
2019/9/4,32,19,91
2019/9/5,33,20,82
2019/9/6,33,20,86
2019/9/7,34,21,90
2019/9/8,35,22,71
2019/9/9,32,21,97
2019/9/10,25,18,22
2019/9/11,24,18,26
2019/9/12,25,18,31
2019/9/13,26,18,42
2019/9/14,29,17,29
2019/9/15,28,17,51
2019/9/16,26,17,43
2019/9/17,28,16,55
2019/9/18,24,14,26
2019/9/19,25,16,56
2019/9/20,27,16,61
2019/9/21,27,16,88
2019/9/22,27,16,116
2019/9/23,30,17,58
2019/9/24,31,15,38
2019/9/25,31,16,54
2019/9/26,30,15,64
2019/9/27,29,15,79
2019/9/28,30,17,84
2019/9/29,29,18,95
2019/9/30,30,19,104
2019/10/1,30,20,84
2019/10/2,29,17,74
2019/10/3,29,13,86
2019/10/4,15,9,34
2019/10/5,19,9,17
2019/10/6,19,9,34
2019/10/7,24,10,64
2019/10/8,20,9,26
2019/10/9,22,11,55
2019/10/10,22,12,63
2019/10/11,18,13,62
2019/10/12,18,9,59
2019/10/13,12,5,52
2019/10/14,16,4,22
2019/10/15,17,6,35
2019/10/16,15,9,48
2019/10/17,14,7,80
2019/10/18,18,7,83
2019/10/19,20,10,165
2019/10/20,22,7,148
2019/10/21,19,6,45
2019/10/22,20,7,77
2019/10/23,21,11,104
2019/10/24,16,7,108
2019/10/25,14,2,17
2019/10/26,16,3,45
2019/10/27,18,5,69
2019/10/28,15,2,128
2019/10/29,16,3,64
2019/10/30,20,5,83
2019/10/31,22,4,70
2019/11/1,18,8,65
2019/11/2,13,8,53
2019/11/3,14,4,53
2019/11/4,16,5,70
2019/11/5,16,6,76
2019/11/6,16,5,66
2019/11/7,12,1,53
2019/11/8,15,2,65
2019/11/9,14,6,109
2019/11/10,17,6,90
2019/11/11,16,4,48
2019/11/12,18,5,80
2019/11/13,8,-4,51
2019/11/14,10,-2,51
2019/11/15,9,1,64
2019/11/16,9,4,65
2019/11/17,12,-4,158
2019/11/18,4,-5,77
2019/11/19,7,-3,56
2019/11/20,7,-2,89
2019/11/21,9,-1,115
2019/11/22,10,2,178
2019/11/23,12,4,190
2019/11/24,6,-5,30
2019/11/25,3,-5,27
2019/11/26,5,-4,64
2019/11/27,4,-6,26
2019/11/28,3,-5,59
2019/11/29,3,-4,76
2019/11/30,5,-5,74
2019/12/1,4,-5,32
2019/12/2,4,-5,25
2019/12/3,7,-4,45
2019/12/4,8,-5,30
2019/12/5,2,-6,37
2019/12/6,4,-5,73
2019/12/7,6,-6,66
2019/12/8,5,-5,181
2019/12/9,3,-5,224
2019/12/10,9,-3,148
2019/12/11,4,-6,27
2019/12/12,5,-5,35
2019/12/13,10,-5,48
2019/12/14,5,-3,24
2019/12/15,3,-2,67
2019/12/16,2,-4,91
2019/12/17,6,-7,25
2019/12/18,2,-6,26
2019/12/19,2,-9,27
2019/12/20,3,-7,33
2019/12/21,4,-6,63
2019/12/22,5,-5,90
2019/12/23,3,-4,59
2019/12/24,1,-6,110
2019/12/25,5,-6,85
2019/12/26,4,-7,41
2019/12/27,4,-6,69
2019/12/28,3,-7,100
2019/12/29,5,-7,133
2019/12/30,-5,-12,37
2019/12/31,-3,-10,36
2020/1/1,0,-9,53
2020/1/2,4,-8,74
2020/1/3,7,-5,72
2020/1/4,9,-5,59
2020/1/5,2,-3,79
2020/1/6,3,-2,78
2020/1/7,2,-4,24
2020/1/8,5,-6,27
2020/1/9,4,-7,48
2020/1/10,6,-4,46
2020/1/11,0,-7,22
2020/1/12,2,-6,30
2020/1/13,0,-8,21
2020/1/14,1,-9,26
2020/1/15,1,-7,69
2020/1/16,2,-7,69
2020/1/17,3,-7,90
2020/1/18,-2,-4,271
2020/1/19,5,-4,57
2020/1/20,6,-7,25
2020/1/21,4,-6,58
2020/1/22,6,-5,90
2020/1/23,8,-6,71
2020/1/24,4,-6,83
2020/1/25,5,-5,188
2020/1/26,3,-4,197
2020/1/27,5,-4,224
2020/1/28,5,-4,224
2020/1/29,8,-6,104
2020/1/30,6,-6,66
2020/1/31,8,-5,66
2020/2/1,4,-3,21
2020/2/2,3,-7,45
2020/2/3,3,-6,31
2020/2/4,2,-8,26
2020/2/5,-3,-6,37
2020/2/6,-3,-9,57
2020/2/7,1,-7,99
2020/2/8,7,-7,91
2020/2/9,6,-5,169
2020/2/10,12,-5,173
2020/2/11,10,-2,227
2020/2/12,11,-2,262
2020/2/13,8,0,260
2020/2/14,0,-6,87
2020/2/15,0,-4,20
2020/2/16,3,-5,20
2020/2/17,6,-5,21
2020/2/18,10,-4,27
2020/2/19,8,-4,76
2020/2/20,4,-3,142
2020/2/21,9,-2,128
2020/2/22,9,-3,25
2020/2/23,10,0,53
2020/2/24,9,3,86
2020/2/25,9,-2,70
2020/2/26,8,-2,44
2020/2/27,5,-3,37
2020/2/28,8,0,81
2020/2/29,3,1,109
2020/3/1,10,-3,41
2020/3/2,9,-1,33
2020/3/3,8,-3,36
2020/3/4,7,-2,23
2020/3/5,9,-2,54
2020/3/6,10,1,109
2020/3/7,15,1,81
2020/3/8,6,5,129
2020/3/9,11,-1,74
2020/3/10,11,-4,33
2020/3/11,16,1,44
2020/3/12,14,-2,43
2020/3/13,12,-1,30
2020/3/14,16,3,34
2020/3/15,18,0,34
2020/3/16,12,3,57
2020/3/17,23,3,56
2020/3/18,26,5,105
2020/3/19,17,4,36
2020/3/20,24,7,53
2020/3/21,17,3,66
2020/3/22,21,7,59
2020/3/23,22,6,54
2020/3/24,18,5,67
2020/3/25,21,5,155
2020/3/26,12,2,41
2020/3/27,13,-1,27
2020/3/28,14,2,30
2020/3/29,16,5,62
2020/3/30,18,7,87
2020/3/31,19,7,87
2020/4/1,16,3,45
2020/4/2,20,7,39
2020/4/3,24,9,42
2020/4/4,18,4,99
2020/4/5,19,6,67
2020/4/6,23,9,85
2020/4/7,18,5,87
2020/4/8,15,7,54
2020/4/9,12,4,53
2020/4/10,17,6,58
2020/4/11,23,10,46
2020/4/12,25,6,45
2020/4/13,27,10,57
2020/4/14,26,11,94
2020/4/15,24,11,94
2020/4/16,19,11,76
2020/4/17,21,8,47
2020/4/18,22,11,46
2020/4/19,21,10,68
2020/4/20,15,4,67
2020/4/21,13,4,34
2020/4/22,16,6,46
2020/4/23,19,6,31
2020/4/24,29,12,84
2020/4/25,22,9,57
2020/4/26,22,7,37
2020/4/27,28,11,61
2020/4/28,27,16,102
2020/4/29,28,15,118
2020/4/30,32,17,143
2020/5/1,34,21,179
2020/5/2,32,17,149
2020/5/3,25,14,102
2020/5/4,17,10,52
2020/5/5,22,13,65
2020/5/6,25,13,114
2020/5/7,19,13,117
2020/5/8,15,10,58
2020/5/9,19,13,47
2020/5/10,25,14,56
2020/5/11,27,13,75
2020/5/12,26,12,97
2020/5/13,30,18,117
2020/5/14,30,15,104
2020/5/15,22,15,93
2020/5/16,22,13,66
2020/5/17,22,14,66
2020/5/18,26,15,42
2020/5/19,30,15,54
2020/5/20,29,16,68
2020/5/21,22,15,114
2020/5/22,29,16,79
2020/5/23,26,16,56
2020/5/24,29,17,33
2020/5/25,24,13,44
2020/5/26,28,16,34
2020/5/27,30,16,45
2020/5/28,32,17,82
2020/5/29,29,21,111
2020/5/30,31,18,116
2020/5/31,28,16,73
2020/6/1,31,16,62
2020/6/2,32,20,89
2020/6/3,36,20,168
2020/6/4,32,18,44
2020/6/5,30,17,42
2020/6/6,31,19,64
2020/6/7,35,24,83
2020/6/8,37,26,97
2020/6/9,28,21,73
2020/6/10,33,21,93
2020/6/11,31,21,85
2020/6/12,34,23,80
2020/6/13,32,23,95
2020/6/14,34,22,36
2020/6/15,37,22,62
2020/6/16,36,24,100
2020/6/17,31,21,66
2020/6/18,32,22,63
2020/6/19,32,24,59
2020/6/20,33,25,81
2020/6/21,34,25,75
2020/6/22,32,24,86
2020/6/23,31,22,73
2020/6/24,29,22,35
2020/6/25,29,20,51
2020/6/26,28,21,44
2020/6/27,32,22,111
2020/6/28,30,22,101
2020/6/29,27,21,48
2020/6/30,34,22,41
2020/7/1,34,22,74
2020/7/2,28,21,49
2020/7/3,27,20,71
